Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(model_trainer.py:429726): Gdk-CRITICAL **: 17:52:54.293: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
Epochs:  100000
Pretrained:  False
SAM:  False
Adversarial Training Type:  None
Files already downloaded and verified
Files already downloaded and verified
CIFAR10 Data Loaded
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
Epoch:  2890 	Loss:  2.302651882171631
Epoch:  2900 	Loss:  2.302523136138916
Epoch:  2910 	Loss:  2.3026552200317383
Epoch:  2920 	Loss:  2.3026015758514404
Epoch:  2930 	Loss:  2.3026742935180664
Epoch:  2940 	Loss:  2.3026204109191895
Epoch:  2950 	Loss:  2.3026485443115234
Epoch:  2960 	Loss:  2.3027377128601074
Epoch:  2970 	Loss:  2.3026881217956543
Epoch:  2980 	Loss:  2.3025946617126465
Epoch:  2990 	Loss:  2.3025963306427
Epoch:  3000 	Loss:  2.3025968074798584
Epoch:  3010 	Loss:  2.3026397228240967
Epoch:  3020 	Loss:  2.3026363849639893
Epoch:  3030 	Loss:  2.302586078643799
Epoch:  3040 	Loss:  2.3026070594787598
Epoch:  3050 	Loss:  2.3025269508361816
Epoch:  3060 	Loss:  2.3026044368743896
Epoch:  3070 	Loss:  2.3025670051574707
Epoch:  3080 	Loss:  2.3026771545410156
Epoch:  3090 	Loss:  2.3025639057159424
Epoch:  3100 	Loss:  2.3026251792907715
Epoch:  3110 	Loss:  2.3026225566864014
Epoch:  3120 	Loss:  2.302543878555298
Epoch:  3130 	Loss:  2.302640438079834
Epoch:  3140 	Loss:  2.3026747703552246
Epoch:  3150 	Loss:  2.3026299476623535
Epoch:  3160 	Loss:  2.3026673793792725
Epoch:  3170 	Loss:  2.3025996685028076
Epoch:  3180 	Loss:  2.3026022911071777
Epoch:  3190 	Loss:  2.302586078643799
Epoch:  3200 	Loss:  2.302611827850342
Epoch:  3210 	Loss:  2.302622079849243
Epoch:  3220 	Loss:  2.3025646209716797
Epoch:  3230 	Loss:  2.3025667667388916
Epoch:  3240 	Loss:  2.302650213241577
Epoch:  3250 	Loss:  2.3026182651519775
Epoch:  3260 	Loss:  2.302605152130127
Epoch:  3270 	Loss:  2.3025834560394287
Epoch:  3280 	Loss:  2.3025288581848145
Epoch:  3290 	Loss:  2.3026185035705566
Epoch:  3300 	Loss:  2.3025946617126465
Epoch:  3310 	Loss:  2.302610397338867
Epoch:  3320 	Loss:  2.3026156425476074
Epoch:  3330 	Loss:  2.3026485443115234
Epoch:  3340 	Loss:  2.3025760650634766
Epoch:  3350 	Loss:  2.302621364593506
Epoch:  3360 	Loss:  2.302598714828491
Epoch:  3370 	Loss:  2.302793264389038
Epoch:  3380 	Loss:  2.30275821685791
Epoch:  3390 	Loss:  2.3025283813476562
Epoch:  3400 	Loss:  2.3027024269104004
Epoch:  3410 	Loss:  2.302577495574951
Epoch:  3420 	Loss:  2.3026132583618164
Epoch:  3430 	Loss:  2.302615165710449
Epoch:  3440 	Loss:  2.302558183670044
Epoch:  3450 	Loss:  2.302520751953125
Epoch:  3460 	Loss:  2.302595376968384
Epoch:  3470 	Loss:  2.302581310272217
Epoch:  3480 	Loss:  2.302597761154175
Epoch:  3490 	Loss:  2.3025429248809814
Epoch:  3500 	Loss:  2.3026516437530518
Epoch:  3510 	Loss:  2.3025894165039062
Epoch:  3520 	Loss:  2.3026516437530518
Epoch:  3530 	Loss:  2.30259370803833
Epoch:  3540 	Loss:  2.3026840686798096
Epoch:  3550 	Loss:  2.3026223182678223
Epoch:  3560 	Loss:  2.3026187419891357
Epoch:  3570 	Loss:  2.3026859760284424
Epoch:  3580 	Loss:  2.302510976791382
Epoch:  3590 	Loss:  2.3025500774383545
Epoch:  3600 	Loss:  2.3025875091552734
Epoch:  3610 	Loss:  2.302640438079834
Epoch:  3620 	Loss:  2.3026230335235596
Epoch:  3630 	Loss:  2.3026347160339355
Epoch:  3640 	Loss:  2.302544116973877
Epoch:  3650 	Loss:  2.302551507949829
Epoch:  3660 	Loss:  2.3025474548339844
Epoch:  3670 	Loss:  2.302577495574951
Epoch:  3680 	Loss:  2.302734375
Epoch:  3690 	Loss:  2.302576780319214
Epoch:  3700 	Loss:  2.302715301513672
Epoch:  3710 	Loss:  2.3025851249694824
Epoch:  3720 	Loss:  2.3025963306427
Epoch:  3730 	Loss:  2.3025360107421875
Epoch:  3740 	Loss:  2.3025567531585693
Epoch:  3750 	Loss:  2.3025784492492676
Epoch:  3760 	Loss:  2.30256724357605
Epoch:  3770 	Loss:  2.302504062652588
Epoch:  3780 	Loss:  2.3024096488952637
Epoch:  3790 	Loss:  2.302703380584717
Epoch:  3800 	Loss:  2.3025875091552734
Epoch:  3810 	Loss:  2.3026764392852783
Epoch:  3820 	Loss:  2.3026790618896484
Epoch:  3830 	Loss:  2.3026037216186523
Epoch:  3840 	Loss:  2.3026509284973145
Epoch:  3850 	Loss:  2.3026583194732666
Epoch:  3860 	Loss:  2.3026957511901855
Epoch:  3870 	Loss:  2.3026223182678223
Epoch:  3880 	Loss:  2.3025805950164795
