CMDLINE /usr/bin/python3 transfer_attacks.py
MEM 2727.574219 1619101821.4169
MEM 2727.578125 1619101821.5172
MEM 2727.578125 1619101821.6176
MEM 2727.578125 1619101821.7179
MEM 2727.585938 1619101821.8183
MEM 2727.585938 1619101821.9186
MEM 2727.585938 1619101822.0191
MEM 2727.585938 1619101822.1194
MEM 2727.585938 1619101822.2198
MEM 2727.585938 1619101822.3202
MEM 2727.585938 1619101822.4205
MEM 2727.585938 1619101822.5208
MEM 2727.585938 1619101822.6212
MEM 2727.585938 1619101822.7216
MEM 2727.585938 1619101822.8221
MEM 2727.585938 1619101822.9226
MEM 2727.585938 1619101823.0230
MEM 2727.593750 1619101823.1234
MEM 2727.593750 1619101823.2237
MEM 2727.593750 1619101823.3242
MEM 2727.593750 1619101823.4247
MEM 2727.593750 1619101823.5252
MEM 2727.593750 1619101823.6257
MEM 2727.593750 1619101823.7261
MEM 2727.593750 1619101823.8264
MEM 2727.593750 1619101823.9267
MEM 2727.593750 1619101824.0270
MEM 2727.597656 1619101824.1274
MEM 2727.597656 1619101824.2279
MEM 2727.597656 1619101824.3283
MEM 2727.597656 1619101824.4287
MEM 2727.597656 1619101824.5292
MEM 2727.597656 1619101824.6296
MEM 2727.718750 1619101824.7306
MEM 2727.718750 1619101824.8310
MEM 2727.718750 1619101824.9313
MEM 2727.718750 1619101825.0316
MEM 2727.718750 1619101825.1318
MEM 2727.718750 1619101825.2322
MEM 2727.718750 1619101825.3327
MEM 2727.718750 1619101825.4330
MEM 2727.718750 1619101825.5334
MEM 2727.718750 1619101825.6336
MEM 2727.718750 1619101825.7339
MEM 2727.718750 1619101825.8342
MEM 2727.718750 1619101825.9347
MEM 2727.718750 1619101826.0351
MEM 2727.718750 1619101826.1356
MEM 2727.718750 1619101826.2361
MEM 2727.718750 1619101826.3366
MEM 2727.718750 1619101826.4370
MEM 2727.718750 1619101826.5374
MEM 2727.718750 1619101826.6376
MEM 2727.718750 1619101826.7380
MEM 2727.718750 1619101826.8382
MEM 2727.718750 1619101826.9385
MEM 2727.718750 1619101827.0390
MEM 2727.718750 1619101827.1393
MEM 2727.718750 1619101827.2397
MEM 2727.718750 1619101827.3400
MEM 2727.718750 1619101827.4403
MEM 2727.718750 1619101827.5405
MEM 2727.718750 1619101827.6410
MEM 2727.718750 1619101827.7414
MEM 2727.718750 1619101827.8417
MEM 2727.718750 1619101827.9424
MEM 2727.718750 1619101828.0428
MEM 2727.718750 1619101828.1433
MEM 2727.718750 1619101828.2437
MEM 2727.718750 1619101828.3440
MEM 2727.718750 1619101828.4444
MEM 2727.718750 1619101828.5447
MEM 2727.718750 1619101828.6450
MEM 2727.718750 1619101828.7454
MEM 2727.718750 1619101828.8458
MEM 2727.718750 1619101828.9461
MEM 2727.718750 1619101829.0464
MEM 2727.718750 1619101829.1467
MEM 2727.718750 1619101829.2469
MEM 2727.718750 1619101829.3473
MEM 2727.718750 1619101829.4477
MEM 2727.718750 1619101829.5479
MEM 2727.718750 1619101829.6484
MEM 2727.718750 1619101829.7487
MEM 2727.718750 1619101829.8491
MEM 2727.718750 1619101829.9495
MEM 2727.718750 1619101830.0499
MEM 2727.718750 1619101830.1502
MEM 2727.718750 1619101830.2504
MEM 2727.718750 1619101830.3507
MEM 2727.718750 1619101830.4511
MEM 2727.718750 1619101830.5516
MEM 2727.718750 1619101830.6521
MEM 2727.718750 1619101830.7524
MEM 2727.718750 1619101830.8527
MEM 2727.718750 1619101830.9529
MEM 2727.718750 1619101831.0533
MEM 2727.718750 1619101831.1537
MEM 2727.718750 1619101831.2540
MEM 2727.718750 1619101831.3543
MEM 2727.718750 1619101831.4549
MEM 2727.718750 1619101831.5554
MEM 2727.718750 1619101831.6559
MEM 2727.718750 1619101831.7562
MEM 2727.718750 1619101831.8565
MEM 2727.718750 1619101831.9567
MEM 2727.718750 1619101832.0570
MEM 2727.718750 1619101832.1574
MEM 2727.718750 1619101832.2578
MEM 2727.718750 1619101832.3582
MEM 2727.957031 1619101832.4587
MEM 2727.957031 1619101832.5591
MEM 2728.304688 1619101832.6595
MEM 2728.410156 1619101832.7601
MEM 2728.410156 1619101832.8606
MEM 2728.410156 1619101832.9611
MEM 2728.410156 1619101833.0617
MEM 2728.527344 1619101833.1622
MEM 2728.570312 1619101833.2626
MEM 2728.570312 1619101833.3631
MEM 2728.570312 1619101833.4635
MEM 2728.570312 1619101833.5639
MEM 2728.570312 1619101833.6642
MEM 2728.570312 1619101833.7645
MEM 2728.570312 1619101833.8648
MEM 2728.570312 1619101833.9654
MEM 2728.570312 1619101834.0658
MEM 2728.570312 1619101834.1662
MEM 2728.570312 1619101834.2665
MEM 2728.570312 1619101834.3668
MEM 2728.570312 1619101834.4670
MEM 2728.570312 1619101834.5675
MEM 2728.574219 1619101834.6678
MEM 2728.574219 1619101834.7682
MEM 2728.574219 1619101834.8685
MEM 2728.574219 1619101834.9690
MEM 2728.574219 1619101835.0694
MEM 2728.574219 1619101835.1699
MEM 2728.574219 1619101835.2702
MEM 2728.574219 1619101835.3705
MEM 2728.574219 1619101835.4710
MEM 2728.574219 1619101835.5712
MEM 2728.574219 1619101835.6717
MEM 2728.574219 1619101835.7721
MEM 2728.574219 1619101835.8726
MEM 2728.574219 1619101835.9729
MEM 2728.574219 1619101836.0731
MEM 2728.574219 1619101836.1735
MEM 2728.574219 1619101836.2739
MEM 2728.574219 1619101836.3743
MEM 2728.574219 1619101836.4747
MEM 2728.574219 1619101836.5751
MEM 2728.574219 1619101836.6755
MEM 2728.574219 1619101836.7759
MEM 2728.574219 1619101836.8763
MEM 2728.574219 1619101836.9766
MEM 2728.574219 1619101837.0770
MEM 2728.574219 1619101837.1773
MEM 2728.574219 1619101837.2777
MEM 2728.574219 1619101837.3781
MEM 2728.574219 1619101837.4786
MEM 2728.574219 1619101837.5790
MEM 2728.574219 1619101837.6796
MEM 2728.574219 1619101837.7798
MEM 2728.574219 1619101837.8801
MEM 2728.574219 1619101837.9806
MEM 2728.593750 1619101838.0811
MEM 2728.593750 1619101838.1814
MEM 2728.593750 1619101838.2818
MEM 2728.593750 1619101838.3821
MEM 2728.593750 1619101838.4825
MEM 2728.593750 1619101838.5829
MEM 2728.593750 1619101838.6833
MEM 2728.593750 1619101838.7837
MEM 2728.593750 1619101838.8840
MEM 2728.593750 1619101838.9843
MEM 2728.593750 1619101839.0846
MEM 2728.593750 1619101839.1851
MEM 2728.593750 1619101839.2856
MEM 2728.593750 1619101839.3862
MEM 2728.593750 1619101839.4867
MEM 2728.593750 1619101839.5872
MEM 2728.593750 1619101839.6875
MEM 2728.593750 1619101839.7880
MEM 2728.593750 1619101839.8884
MEM 2728.593750 1619101839.9888
MEM 2728.593750 1619101840.0890
MEM 2728.593750 1619101840.1894
MEM 2728.593750 1619101840.2898
MEM 2728.593750 1619101840.3902
MEM 2728.593750 1619101840.4905
MEM 2728.601562 1619101840.5908
MEM 2728.601562 1619101840.6912
MEM 2728.601562 1619101840.7916
MEM 2728.601562 1619101840.8920
MEM 2728.601562 1619101840.9924
MEM 2728.601562 1619101841.0928
MEM 2728.601562 1619101841.1932
MEM 2728.601562 1619101841.2935
MEM 2728.601562 1619101841.3939
MEM 2728.601562 1619101841.4943
MEM 2728.601562 1619101841.5948
MEM 2728.601562 1619101841.6951
MEM 2728.601562 1619101841.7953
MEM 2728.601562 1619101841.8956
MEM 2728.601562 1619101841.9960
MEM 2728.636719 1619101842.0965
MEM 2728.636719 1619101842.1969
MEM 2728.636719 1619101842.2974
MEM 2728.636719 1619101842.3976
MEM 2728.636719 1619101842.4979
MEM 2728.636719 1619101842.5983
MEM 2728.636719 1619101842.6987
MEM 2728.636719 1619101842.7991
MEM 2728.636719 1619101842.8995
MEM 2728.636719 1619101843.0000
MEM 2728.636719 1619101843.1003
MEM 2728.636719 1619101843.2007
MEM 2728.636719 1619101843.3012
MEM 2728.636719 1619101843.4017
MEM 2728.636719 1619101843.5020
MEM 2728.636719 1619101843.6023
MEM 2728.636719 1619101843.7029
MEM 2728.636719 1619101843.8033
MEM 2728.636719 1619101843.9036
MEM 2728.636719 1619101844.0040
MEM 2728.636719 1619101844.1042
MEM 2728.636719 1619101844.2045
MEM 2728.636719 1619101844.3048
MEM 2728.636719 1619101844.4054
MEM 2728.636719 1619101844.5057
MEM 2728.636719 1619101844.6061
MEM 2728.636719 1619101844.7064
MEM 2728.636719 1619101844.8066
MEM 2728.636719 1619101844.9071
MEM 2728.636719 1619101845.0076
MEM 2728.636719 1619101845.1081
MEM 2728.636719 1619101845.2084
MEM 2728.636719 1619101845.3086
MEM 2728.636719 1619101845.4090
MEM 2728.636719 1619101845.5094
MEM 2728.636719 1619101845.6098
MEM 2728.636719 1619101845.7102
MEM 2728.636719 1619101845.8106
MEM 2728.636719 1619101845.9111
MEM 2728.636719 1619101846.0115
MEM 2728.636719 1619101846.1119
MEM 2728.636719 1619101846.2122
MEM 2728.636719 1619101846.3127
MEM 2728.636719 1619101846.4131
MEM 2728.636719 1619101846.5135
MEM 2728.636719 1619101846.6140
MEM 2728.636719 1619101846.7144
MEM 2728.636719 1619101846.8147
MEM 2728.636719 1619101846.9151
MEM 2728.636719 1619101847.0154
MEM 2728.636719 1619101847.1158
MEM 2728.636719 1619101847.2165
MEM 2728.636719 1619101847.3170
MEM 2728.636719 1619101847.4174
MEM 2728.636719 1619101847.5177
MEM 2728.636719 1619101847.6181
MEM 2728.636719 1619101847.7185
MEM 2728.636719 1619101847.8188
MEM 2728.636719 1619101847.9193
MEM 2728.636719 1619101848.0197
MEM 2728.636719 1619101848.1201
MEM 2728.636719 1619101848.2205
MEM 2728.636719 1619101848.3208
MEM 2728.636719 1619101848.4212
MEM 2728.636719 1619101848.5217
MEM 2728.636719 1619101848.6220
MEM 2728.636719 1619101848.7222
MEM 2728.636719 1619101848.8225
MEM 2728.636719 1619101848.9228
MEM 2728.636719 1619101849.0233
MEM 2728.636719 1619101849.1238
MEM 2728.656250 1619101849.2245
MEM 2728.570312 1619101849.3251
MEM 2726.570312 1619101849.4256
MEM 2728.570312 1619101849.5263
MEM 2728.570312 1619101849.6268
MEM 2728.648438 1619101849.7274
MEM 2728.667969 1619101849.8279
MEM 2728.667969 1619101849.9283
MEM 2728.667969 1619101850.0287
MEM 2728.667969 1619101850.1291
MEM 2728.667969 1619101850.2295
MEM 2728.671875 1619101850.3299
MEM 2728.671875 1619101850.4304
MEM 2728.671875 1619101850.5307
MEM 2728.671875 1619101850.6311
MEM 2728.671875 1619101850.7315
MEM 2728.671875 1619101850.8321
MEM 2728.671875 1619101850.9324
MEM 2728.671875 1619101851.0328
MEM 2728.671875 1619101851.1330
MEM 2728.671875 1619101851.2334
MEM 2728.671875 1619101851.3337
MEM 2728.671875 1619101851.4343
MEM 2728.671875 1619101851.5347
MEM 2728.671875 1619101851.6351
MEM 2728.671875 1619101851.7354
MEM 2728.671875 1619101851.8357
MEM 2728.671875 1619101851.9362
MEM 2728.671875 1619101852.0366
MEM 2728.671875 1619101852.1370
MEM 2728.671875 1619101852.2375
MEM 2728.671875 1619101852.3380
MEM 2728.671875 1619101852.4383
MEM 2728.671875 1619101852.5388
MEM 2728.671875 1619101852.6393
MEM 2728.671875 1619101852.7397
MEM 2728.671875 1619101852.8401
MEM 2728.675781 1619101852.9404
MEM 2728.675781 1619101853.0407
MEM 2728.675781 1619101853.1411
MEM 2728.679688 1619101853.2415
MEM 2728.679688 1619101853.3420
MEM 2728.679688 1619101853.4423
MEM 2728.679688 1619101853.5427
MEM 2728.679688 1619101853.6431
MEM 2728.679688 1619101853.7434
MEM 2728.679688 1619101853.8439
MEM 2728.679688 1619101853.9443
MEM 2728.679688 1619101854.0446
MEM 2728.679688 1619101854.1449
MEM 2728.679688 1619101854.2455
MEM 2728.679688 1619101854.3459
MEM 2728.679688 1619101854.4464
MEM 2728.679688 1619101854.5467
MEM 2728.679688 1619101854.6469
MEM 2728.679688 1619101854.7472
MEM 2728.679688 1619101854.8476
MEM 2728.679688 1619101854.9480
MEM 2728.679688 1619101855.0485
MEM 2728.679688 1619101855.1490
MEM 2728.679688 1619101855.2493
MEM 2728.679688 1619101855.3497
MEM 2728.679688 1619101855.4501
MEM 2728.679688 1619101855.5504
MEM 2728.683594 1619101855.6508
MEM 2728.683594 1619101855.7511
MEM 2728.683594 1619101855.8515
MEM 2728.683594 1619101855.9520
MEM 2728.683594 1619101856.0525
MEM 2728.683594 1619101856.1529
MEM 2728.683594 1619101856.2534
MEM 2728.683594 1619101856.3537
MEM 2728.683594 1619101856.4539
MEM 2728.683594 1619101856.5544
MEM 2728.683594 1619101856.6547
MEM 2728.683594 1619101856.7552
MEM 2728.683594 1619101856.8556
MEM 2728.683594 1619101856.9559
MEM 2728.683594 1619101857.0562
MEM 2728.683594 1619101857.1565
MEM 2728.683594 1619101857.2568
MEM 2728.683594 1619101857.3571
MEM 2728.683594 1619101857.4575
MEM 2728.683594 1619101857.5578
MEM 2728.683594 1619101857.6584
MEM 2728.683594 1619101857.7588
MEM 2728.683594 1619101857.8592
MEM 2728.792969 1619101857.9595
MEM 2728.792969 1619101858.0599
MEM 2728.792969 1619101858.1603
MEM 2728.792969 1619101858.2606
MEM 2728.792969 1619101858.3612
MEM 2728.792969 1619101858.4616
MEM 2728.792969 1619101858.5619
MEM 2728.792969 1619101858.6624
MEM 2728.792969 1619101858.7629
MEM 2729.023438 1619101858.8632
MEM 2729.023438 1619101858.9637
MEM 2729.023438 1619101859.0640
MEM 2729.023438 1619101859.1643
MEM 2729.023438 1619101859.2648
MEM 2729.023438 1619101859.3653
MEM 2729.164062 1619101859.4657
MEM 2731.800781 1619101859.5660
MEM 2735.410156 1619101859.6664
MEM 2739.214844 1619101859.7667
MEM 2741.527344 1619101859.8671
MEM 2744.832031 1619101859.9675
MEM 2746.894531 1619101860.0679
MEM 2751.734375 1619101860.1682
MEM 2754.054688 1619101860.2688
MEM 2757.398438 1619101860.3692
MEM 2761.167969 1619101860.4696
MEM 2763.390625 1619101860.5700
MEM 2766.582031 1619101860.6703
MEM 2770.226562 1619101860.7707
MEM 2773.015625 1619101860.8710
MEM 2775.773438 1619101860.9714
MEM 2779.523438 1619101861.0717
MEM 2782.941406 1619101861.1721
MEM 2786.453125 1619101861.2726
MEM 2788.253906 1619101861.3730
MEM 2791.863281 1619101861.4733
MEM 2795.515625 1619101861.5739
MEM 2797.484375 1619101861.6742
MEM 2800.996094 1619101861.7746
MEM 2804.648438 1619101861.8750
MEM 2807.863281 1619101861.9754
MEM 2810.085938 1619101862.0758
MEM 2813.589844 1619101862.1762
MEM 2815.605469 1619101862.2767
MEM 2819.121094 1619101862.3772
MEM 2822.808594 1619101862.4775
MEM 2824.687500 1619101862.5779
MEM 2827.929688 1619101862.6782
MEM 2831.906250 1619101862.7786
MEM 2834.316406 1619101862.8791
MEM 2837.343750 1619101862.9795
MEM 2839.593750 1619101863.0798
MEM 2844.160156 1619101863.1802
MEM 2846.437500 1619101863.2806
MEM 2849.417969 1619101863.3811
MEM 2851.929688 1619101863.4816
MEM 2855.417969 1619101863.5821
MEM 2857.292969 1619101863.6824
MEM 2860.875000 1619101863.7827
MEM 2862.750000 1619101863.8831
MEM 2866.281250 1619101863.9835
MEM 2869.558594 1619101864.0839
MEM 2871.968750 1619101864.1843
MEM 2875.367188 1619101864.2845
MEM 2879.144531 1619101864.3847
MEM 2882.667969 1619101864.4853
MEM 2886.257812 1619101864.5857
MEM 2889.621094 1619101864.6861
MEM 2891.820312 1619101864.7865
MEM 2895.437500 1619101864.8870
MEM 2898.929688 1619101864.9875
MEM 2901.214844 1619101865.0879
MEM 2904.187500 1619101865.1882
MEM 2906.378906 1619101865.2886
MEM 2909.558594 1619101865.3890
MEM 2912.179688 1619101865.4894
MEM 2915.460938 1619101865.5898
MEM 2918.925781 1619101865.6902
MEM 2921.269531 1619101865.7906
MEM 2924.464844 1619101865.8910
MEM 2928.027344 1619101865.9913
MEM 2930.785156 1619101866.0915
MEM 2935.234375 1619101866.1918
MEM 2937.488281 1619101866.2923
MEM 2940.789062 1619101866.3928
MEM 2944.292969 1619101866.4932
MEM 2946.558594 1619101866.5938
MEM 2949.832031 1619101866.6943
MEM 2953.351562 1619101866.7946
MEM 2956.085938 1619101866.8950
MEM 2958.941406 1619101866.9954
MEM 2961.675781 1619101867.0958
MEM 2964.417969 1619101867.1962
MEM 2967.929688 1619101867.2966
MEM 2969.910156 1619101867.3970
MEM 2973.304688 1619101867.4974
MEM 2976.710938 1619101867.5977
MEM 2978.953125 1619101867.6981
MEM 2981.523438 1619101867.7985
MEM 2984.261719 1619101867.8989
MEM 2986.640625 1619101867.9993
MEM 2989.652344 1619101868.0997
MEM 2993.167969 1619101868.2001
MEM 2995.132812 1619101868.3005
MEM 2998.644531 1619101868.4008
MEM 3002.156250 1619101868.5011
MEM 3004.296875 1619101868.6015
MEM 3007.539062 1619101868.7019
MEM 3009.855469 1619101868.8021
MEM 3013.386719 1619101868.9025
MEM 3017.136719 1619101869.0028
MEM 3018.921875 1619101869.1032
MEM 3022.066406 1619101869.2036
MEM 3024.417969 1619101869.3039
MEM 3027.933594 1619101869.4044
MEM 3031.414062 1619101869.5048
MEM 3033.449219 1619101869.6051
MEM 3036.976562 1619101869.7056
MEM 3040.507812 1619101869.8060
MEM 3043.347656 1619101869.9065
MEM 3045.914062 1619101870.0069
MEM 3047.617188 1619101870.1072
MEM 3049.824219 1619101870.2076
MEM 3053.062500 1619101870.3080
MEM 3055.210938 1619101870.4084
MEM 3058.492188 1619101870.5087
MEM 3060.640625 1619101870.6089
MEM 3064.304688 1619101870.7093
MEM 3067.738281 1619101870.8097
MEM 3069.613281 1619101870.9100
MEM 3072.882812 1619101871.0104
MEM 3075.136719 1619101871.1108
MEM 3078.316406 1619101871.2112
MEM 3080.558594 1619101871.3115
MEM 3084.117188 1619101871.4119
MEM 3087.781250 1619101871.5123
MEM 3089.683594 1619101871.6126
MEM 3093.214844 1619101871.7131
MEM 3095.121094 1619101871.8135
MEM 3098.652344 1619101871.9140
MEM 3102.312500 1619101872.0144
MEM 3104.195312 1619101872.1148
MEM 3107.765625 1619101872.2151
MEM 3109.929688 1619101872.3154
MEM 3113.210938 1619101872.4159
MEM 3116.867188 1619101872.5165
MEM 3118.761719 1619101872.6169
MEM 3122.312500 1619101872.7172
MEM 3125.859375 1619101872.8176
MEM 3127.855469 1619101872.9179
MEM 3130.523438 1619101873.0183
MEM 3133.179688 1619101873.1187
MEM 3136.738281 1619101873.2191
MEM 3140.042969 1619101873.3194
MEM 3142.269531 1619101873.4199
MEM 3145.449219 1619101873.5204
MEM 3147.796875 1619101873.6208
MEM 3150.742188 1619101873.7211
MEM 3153.257812 1619101873.8215
MEM 3156.800781 1619101873.9218
MEM 3160.367188 1619101874.0221
MEM 3163.929688 1619101874.1224
MEM 3165.882812 1619101874.2229
MEM 3167.648438 1619101874.3233
MEM 3170.812500 1619101874.4237
MEM 3173.101562 1619101874.5240
MEM 3174.921875 1619101874.6243
MEM 3178.398438 1619101874.7247
MEM 3181.554688 1619101874.8250
MEM 3184.035156 1619101874.9253
MEM 3186.425781 1619101875.0258
MEM 3189.304688 1619101875.1263
MEM 3191.546875 1619101875.2267
MEM 3194.968750 1619101875.3271
MEM 3198.460938 1619101875.4274
MEM 3201.527344 1619101875.5279
MEM 3203.878906 1619101875.6284
MEM 3205.777344 1619101875.7287
MEM 3209.347656 1619101875.8291
MEM 3211.234375 1619101875.9294
MEM 3214.699219 1619101876.0299
MEM 3216.734375 1619101876.1303
MEM 3218.609375 1619101876.2307
MEM 3222.031250 1619101876.3312
MEM 3224.054688 1619101876.4315
MEM 3227.585938 1619101876.5318
MEM 3231.085938 1619101876.6321
MEM 3233.164062 1619101876.7325
MEM 3236.355469 1619101876.8330
MEM 3238.488281 1619101876.9334
MEM 3240.386719 1619101877.0338
MEM 3242.769531 1619101877.1342
MEM 3245.824219 1619101877.2344
MEM 3249.257812 1619101877.3348
MEM 3251.257812 1619101877.4351
MEM 3254.699219 1619101877.5355
MEM 3256.593750 1619101877.6358
MEM 3260.207031 1619101877.7363
MEM 3262.125000 1619101877.8368
MEM 3265.675781 1619101877.9375
MEM 3268.128906 1619101878.0378
MEM 3271.039062 1619101878.1385
MEM 3272.511719 1619101878.2390
MEM 3273.312500 1619101878.3394
MEM 3276.527344 1619101878.4399
MEM 3278.328125 1619101878.5403
MEM 3280.003906 1619101878.6407
MEM 3283.210938 1619101878.7410
MEM 3285.691406 1619101878.8415
MEM 3289.269531 1619101878.9418
MEM 3291.074219 1619101879.0426
MEM 3293.460938 1619101879.1431
MEM 3296.468750 1619101879.2436
MEM 3298.292969 1619101879.3440
MEM 3300.535156 1619101879.4445
MEM 3303.140625 1619101879.5449
MEM 3305.460938 1619101879.6454
MEM 3307.312500 1619101879.7459
MEM 3309.531250 1619101879.8463
MEM 3312.742188 1619101879.9466
MEM 3314.992188 1619101880.0469
MEM 3317.933594 1619101880.1472
MEM 3320.015625 1619101880.2476
MEM 3323.003906 1619101880.3480
MEM 3325.593750 1619101880.4485
MEM 3328.382812 1619101880.5489
MEM 3331.402344 1619101880.6493
MEM 3334.578125 1619101880.7497
MEM 3336.546875 1619101880.8501
MEM 3339.144531 1619101880.9505
MEM 3341.902344 1619101881.0509
MEM 3343.761719 1619101881.1514
MEM 3345.953125 1619101881.2518
MEM 3349.132812 1619101881.3521
MEM 3351.375000 1619101881.4526
MEM 3354.542969 1619101881.5530
MEM 3356.703125 1619101881.6534
MEM 3360.070312 1619101881.7537
MEM 3361.992188 1619101881.8540
MEM 3365.539062 1619101881.9544
MEM 3368.812500 1619101882.0549
MEM 3370.859375 1619101882.1553
MEM 3372.789062 1619101882.2556
MEM 3375.156250 1619101882.3559
MEM 3378.289062 1619101882.4561
MEM 3381.742188 1619101882.5565
MEM 3383.730469 1619101882.6569
MEM 3385.875000 1619101882.7573
MEM 3388.769531 1619101882.8577
MEM 3391.316406 1619101882.9580
FUNC adversarial_attacks.get_OSSA_attack_accuracy 2666.7500 1619101816.1839 2728.4102 1619101832.6969 0
FUNC adversarial_attacks.get_OSSA_attack_accuracy 2728.4102 1619101832.6979 2728.5703 1619101849.2840 0
FUNC adversarial_attacks.get_OSSA_attack_accuracy 2728.5703 1619101849.2855 3463.1016 1619101886.0092 0
MEM 3394.582031 1619101883.0583
MEM 3396.683594 1619101883.1587
MEM 3399.429688 1619101883.2592
MEM 3402.207031 1619101883.3596
MEM 3404.839844 1619101883.4599
MEM 3407.195312 1619101883.5602
MEM 3409.035156 1619101883.6605
MEM 3410.937500 1619101883.7609
MEM 3413.085938 1619101883.8613
MEM 3416.261719 1619101883.9618
MEM 3418.515625 1619101884.0621
MEM 3421.187500 1619101884.1624
MEM 3423.332031 1619101884.2627
MEM 3425.480469 1619101884.3630
MEM 3428.683594 1619101884.4634
MEM 3430.777344 1619101884.5638
MEM 3432.929688 1619101884.6642
MEM 3436.335938 1619101884.7646
MEM 3438.449219 1619101884.8650
MEM 3439.882812 1619101884.9653
MEM 3442.027344 1619101885.0658
MEM 3443.816406 1619101885.1662
MEM 3447.082031 1619101885.2665
MEM 3449.230469 1619101885.3668
MEM 3452.003906 1619101885.4673
MEM 3454.417969 1619101885.5677
MEM 3457.085938 1619101885.6681
MEM 3459.777344 1619101885.7686
MEM 3461.925781 1619101885.8689
MEM 3463.210938 1619101885.9694
MEM 3466.777344 1619101886.0700
MEM 3472.023438 1619101886.1705
MEM 3472.023438 1619101886.2710
MEM 3419.703125 1619101886.3716
MEM 3418.957031 1619101886.4722
MEM 3421.238281 1619101886.5728
MEM 0.000000 1619101886.6732
MEM 0.000000 1619101886.7738
MEM 0.000000 1619101886.8745
MEM 0.000000 1619101886.9750
MEM 0.000000 1619101887.0754
MEM 0.000000 1619101887.1759
MEM 0.000000 1619101887.2764
MEM 0.000000 1619101887.3770
MEM 0.000000 1619101887.4775
MEM 0.000000 1619101887.5779
MEM 0.000000 1619101887.6784
MEM 0.000000 1619101887.7788
MEM 0.000000 1619101887.8793
MEM 0.000000 1619101887.9798
MEM 0.000000 1619101888.0802
MEM 0.000000 1619101888.1809
MEM 0.000000 1619101888.2813
